ID      ROI                                           RED BLUE GREEN A
1184    7Networks_LH_Default_PFC_19                   205 64  85  0
1185    7Networks_LH_Default_PFC_20                   205 65  78  0
1186    7Networks_LH_Default_PFC_21                   205 65  79  0
1187    7Networks_LH_Default_PFC_22                   205 65  80  0
1188    7Networks_LH_Default_PFC_23                   205 65  81  0
1189    7Networks_LH_Default_PFC_24                   205 65  82  0
1190    7Networks_LH_Default_pCunPCC_1                205 63  78  0
1191    7Networks_LH_Default_pCunPCC_2                205 63  86  0
1192    7Networks_LH_Default_pCunPCC_3                205 64  86  0
1193    7Networks_LH_Default_pCunPCC_4                205 65  83  0
1194    7Networks_LH_Default_pCunPCC_5                205 65  84  0
1195    7Networks_LH_Default_pCunPCC_6                205 65  85  0
1196    7Networks_LH_Default_pCunPCC_7                205 65  86  0
1197    7Networks_LH_Default_pCunPCC_8                205 66  79  0
1198    7Networks_LH_Default_pCunPCC_9                205 66  80  0
1199    7Networks_LH_Default_pCunPCC_10               205 66  81  0
1200    7Networks_LH_Default_pCunPCC_11               205 66  82  0
